table_name,column_name,description,data_type,example_value,allowed_values,required
hcp_master,hcp_id,Unique HCP identifier in NPI format,string,NPI_001234,NPI_XXXXXX,Yes
hcp_master,hcp_name,Doctor full name,string,Dr. Sarah Chen,—,Yes
hcp_master,specialty,Medical specialty,string,Medical Oncologist,Medical Oncologist / Pulmonologist / Hemato-Oncologist,Yes
hcp_master,city,Practice city,string,Boston,US cities,Yes
hcp_master,state,Practice state (2-letter code),string,MA,US state codes,Yes
hcp_master,hospital_affiliation,Primary hospital name,string,Dana-Farber Cancer Institute,—,Yes
hcp_master,hospital_type,Type of institution,string,Cancer Center,Cancer Center / Teaching Hospital / Private Practice / Community Hospital,Yes
hcp_master,decile,Prescriber potential score — 10 is highest,integer,9,1–10,Yes
hcp_master,brand_affinity,Current prescribing preference,string,SWITCHER,VEXORIN_LOYAL / ZYLATEC_LOYAL / SWITCHER / NO_PREFERENCE,Yes
hcp_master,monthly_rx_potential,Estimated scripts per month if fully converted,integer,12,Positive integer,Yes
hcp_master,years_in_practice,Years since residency completion,integer,14,Positive integer,Yes
hcp_master,kol_flag,Key Opinion Leader status,boolean,True,True / False,Yes
hcp_master,kol_score,KOL influence score — 0 if not a KOL,integer,4,0–5,Yes
hcp_master,territory_id,Territory this HCP belongs to,string,TER_NE_01,Links to territory_master,Yes
rep_master,rep_id,Unique rep identifier,string,REP_001,REP_XXX,Yes
rep_master,rep_name,Full name,string,James Whitfield,—,Yes
rep_master,region,Sales region,string,NORTHEAST,NORTHEAST / SOUTHEAST / MIDWEST / SOUTH_CENTRAL / MOUNTAIN_WEST / PACIFIC,Yes
rep_master,territory_id,Assigned territory — NULL for managers,string,TER_NE_01,Links to territory_master,Yes
rep_master,total_experience_years,Total pharma sales experience in years,float,6.5,Positive float,Yes
rep_master,onco_experience_years,Oncology-specific experience in years,float,2.0,Positive float — must be <= total_experience_years,Yes
rep_master,designation,Job title,string,Territory Business Manager,Territory Business Manager / Senior Territory Business Manager / Regional Business Director / Area Business Manager,Yes
rep_master,manager_id,Direct manager rep_id,string,REP_022,Links to rep_master,Yes
rep_master,last_launch_performance,Performance quartile during VEXORIN first launch,string,Q3,Q1 (top) / Q2 / Q3 / Q4,Yes
